,영화명,조회수 합,조회수 평균
0,1987,5502660,550266.0
1,23 아이덴티티,1337781,133778.1
2,PMC: 더 벙커,1758530,175853.0
3,가디언즈 오브 갤럭시 VOL. 2,3366513,336651.3
4,강철비,1116835,111683.5
5,겟 아웃,6463020,646302.0
6,곤지암,9412909,941290.9
7,골든슬럼버,278255,27825.5
8,공작,2856937,285693.7
9,공조,7617522,761752.2
10,국가부도의 날,4471268,447126.8
11,군함도,2582971,258297.1
12,궁합,389498,38949.8
13,그것만이 내 세상,1487060,148706.0
14,기억의 밤,393702,39370.2
15,꾼,2555939,255593.9
16,남한산성,321566,32156.6
17,너의 결혼식,1449574,144957.4
18,너의 이름은.,15232178,1523217.8
19,노무현입니다,636099,63609.9
20,더 킹,709041,70904.1
21,덩케르크,2112064,211206.4
22,데드풀 2,9189959,918995.9
23,도어락,258617,25861.7
24,독전,4749536,474953.6
25,램페이지,248288,24828.8
26,레디 플레이어 원,1325782,132578.2
27,로건,17018266,1701826.6
28,리틀 포레스트,755611,75561.1
29,마녀,5751945,575194.5
30,마스터,1397435,139743.5
31,마약왕,1926452,192645.2
32,맘마미아!2,2013657,201365.7
33,메이즈 러너: 데스 큐어,1280017,128001.7
34,명당,580354,58035.4
35,모아나,41525515,4152551.5
36,목격자,604166,60416.6
37,미녀와 야수,10859965,1085996.5
38,미션 임파서블: 폴아웃,2802530,280253.0
39,미이라,695119,69511.9
40,바람 바람 바람,708960,70896.0
41,박열,237199,23719.9
42,범블비,9543966,954396.6
43,범죄도시,11962388,1196238.8
44,베놈,9065312,906531.2
45,보스 베이비,1025508,102550.8
46,보안관,57601,5760.1
47,보헤미안 랩소디,16031112,1603111.2
48,부라더,507595,50759.5
49,분노의 질주: 더 익스트림,329809,32980.9
50,브이아이피,952365,95236.5
51,블랙 팬서,9555363,955536.3
52,사라진 밤,315036,31503.6
53,살인자의 기억법,680466,68046.6
54,서치,4167698,416769.8
55,성난황소,1627999,162799.9
56,슈퍼배드 3,1179048,117904.8
57,스윙키즈,4099737,409973.7
58,스파이더맨: 홈 커밍,11741331,1174133.1
59,신과함께-인과 연,5095127,509512.7
60,신과함께-죄와 벌,5566825,556682.5
61,신비한 동물들과 그린델왈드의 범죄,3734535,373453.5
62,아이 캔 스피크,376409,37640.9
63,안시성,3507610,350761.0
64,암수살인,735913,73591.3
65,애나벨 : 인형의 주인,1438461,143846.1
66,앤트맨과 와스프,3173602,317360.2
67,어벤져스: 인피니티 워,20223178,2022317.8
68,에이리언: 커버넌트,7314710,731471.0
69,오션스8,912702,91270.2
70,완벽한 타인,2339099,233909.9
71,원더 우먼,1580165,158016.5
72,인크레더블 2,492665,49266.5
73,임금님의 사건수첩,32812,3281.2
74,재심,149942,14994.2
75,저스티스 리그,6955941,695594.1
76,조선명탐정: 흡혈괴마의 비밀,298318,29831.8
77,조작된 도시,503001,50300.1
78,쥬라기 월드: 폴른 킹덤,18282559,1828255.9
79,쥬만지: 새로운 세계,471969,47196.9
80,지금 만나러 갑니다,431528,43152.8
81,창궐,1577591,157759.1
82,청년경찰,528589,52858.9
83,캐리비안의 해적: 죽은 자는 말이 없다,876824,87682.4
84,코코,5707734,570773.4
85,콩: 스컬 아일랜드,5140724,514072.4
86,킬러의 보디가드,120541,12054.1
87,킹스맨: 골든 서클,3399997,339999.7
88,탐정: 리턴즈,388275,38827.5
89,택시운전사,3824191,382419.1
90,토르: 라그나로크,23913177,2391317.7
91,트랜스포머: 최후의 기사,3478207,347820.7
92,특별시민,832769,83276.9
93,프리즌,207989,20798.9
94,해피 데스데이,791978,79197.8
95,협상,3710363,371036.3
96,혹성탈출: 종의 전쟁,502500,50250.0
